ANO,TRIMESTRE,PROVEEDOR,COD_DEPARTAMENTO,DEPARTAMENTO,MUNICIPIO,CAB_MUNICIPAL,COBERT_2G,COBERT_3G,COBERT_4G,COBERT_LTE
2018,1,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,05,ANTIOQUIA,APARTADÓ,N,S,S,N,N
2018,4,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP,05,ANTIOQUIA,COCORNÁ,S,N,N,N,S
2018,1,COMUNICACION CELULAR S A COMCEL S A,17,CALDAS,VICTORIA,N,N,N,N,N
2018,4,COMUNICACION CELULAR S A COMCEL S A,05,ANTIOQUIA,SAN PEDRO DE URABA,N,N,N,N,N
2018,1,COMUNICACION CELULAR S A COMCEL S A,15,BOYACÁ,MOTAVITA,N,N,N,N,N
2018,2,AVANTEL S.A.S,05,ANTIOQUIA,VEGACHÍ,S,N,N,N,N
2018,2,COMUNICACION CELULAR S A COMCEL S A,76,VALLE DEL CAUCA,DAGUA,N,S,S,N,N
2018,2,COLOMBIA MOVIL  S.A ESP,05,ANTIOQUIA,LA UNIÓN,S,S,S,N,N
2018,4,COLOMBIA MOVIL  S.A ESP,66,RISARALDA,GUÁTICA,S,S,S,N,N
2018,3,COMUNICACION CELULAR S A COMCEL S A,76,VALLE DEL CAUCA,DAGUA,N,N,N,N,N
2018,1,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,19,CAUCA,MORALES,S,S,S,N,S
2018,4,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,25,CUNDINAMARCA,MOSQUERA,S,S,S,N,S
2018,3,COMUNICACION CELULAR S A COMCEL S A,15,BOYACÁ,CAMPOHERMOSO,N,N,N,N,N
2018,2,COMUNICACION CELULAR S A COMCEL S A,85,CASANARE,YOPAL,N,N,N,N,N
2018,3,COMUNICACION CELULAR S A COMCEL S A,76,VALLE DEL CAUCA,DAGUA,N,N,N,N,N
2018,2,COMUNICACION CELULAR S A COMCEL S A,25,CUNDINAMARCA,EL PEÑÓN,S,S,S,N,S
2018,1,AVANTEL S.A.S,15,BOYACÁ,SOCOTÁ,S,N,N,N,N
2018,3,COLOMBIA MOVIL  S.A ESP,70,SUCRE,BUENAVISTA,S,S,S,N,N
2018,3,AVANTEL S.A.S,68,SANTANDER,MÁLAGA,S,N,N,N,N
2018,2,COMUNICACION CELULAR S A COMCEL S A,47,MAGDALENA,REMOLINO,N,N,N,N,N
